Date,Stock,Bonds,Golds
2019/10/14,4376.8539,197.4822,1497.2
2019/10/15,4340.1385,197.4591,1484.7
2019/10/16,4321.7002,197.4618,1494
2019/10/17,4320.6716,197.4977,1495.4
2019/10/18,4261.8293,197.4779,1493.4
2019/10/21,4260.578,197.437,1487.7
2019/10/22,4292.534,197.3392,1490.6
2019/10/23,4263.3019,197.3391,1495.1
2019/10/24,4259.9419,197.3338,1506.7
2019/10/25,4289.7415,197.3279,1507.1
2019/10/28,4346.5578,197.2033,1494.8
2019/10/29,4309.4696,197.0798,1489.9
2019/10/30,4275.8767,196.9048,1498
2019/10/31,4253.9246,196.8455,1515.4
2019/11/1,4311.0529,196.8947,1516.7
2019/11/4,4336.1881,196.9383,1512
2019/11/5,4358.0046,197.0318,1484.9
2019/11/6,4328.7543,197.181,1492
2019/11/7,4346.0541,197.2681,1469.4
2019/11/8,4329.0099,197.2482,1459.8
2019/11/11,4239.607,197.3623,1456.7
2019/11/12,4244.0504,197.4731,1457
2019/11/13,4237.7753,197.5258,1464.3
2019/11/14,4254.6629,197.5727,1472
2019/11/15,4216.2924,197.6514,1468.7
2019/11/18,4246.9159,197.926,1471.9
2019/11/19,4304.1175,198.1245,1472.6
2019/11/20,4269.601,198.2675,1472
2019/11/21,4257.1086,198.4057,1464.4
2019/11/22,4212.9317,198.4577,1461.5
2019/11/25,4222.5308,198.4533,1455.1
2019/11/26,4226.8877,198.4308,1461.2
2019/11/27,4219.4443,198.4748,1453.5
2019/11/28,4205.7816,198.528,
2019/11/29,4186.1794,198.5844,1470.4
2019/12/2,4194.2022,198.5759,1468.2
2019/12/3,4213.9919,198.5638,1483.5
2019/12/4,4214.5169,198.6329,1480
2019/12/5,4252.4572,198.6892,1481.1
2019/12/6,4280.5132,198.6872,1464.5
2019/12/9,4282.4584,198.7329,1465.9
2019/12/10,4296.0324,198.7723,1468.7
2019/12/11,4290.4536,198.823,1479.3
2019/12/12,4280.6118,198.9188,1474.1
2019/12/13,4350.4704,198.9216,1480.3
2019/12/16,4396.9993,198.9521,1480.4
2019/12/17,4454.7921,198.9276,1480.5
2019/12/18,4450.0019,198.9026,1479.4
2019/12/19,4454.7795,198.9543,1482.7
2019/12/20,4426.5828,199.1065,1482.4
2019/12/23,4353.553,199.2909,1489.8
2019/12/24,4402.063,199.4444,1504.4
2019/12/25,4410.823,199.5658,
2019/12/26,4446.553,199.7127,1516
2019/12/27,4428.6846,199.7998,1515.6
2019/12/30,4480.3495,199.8571,1518.2
2019/12/31,4500.1258,199.9218,1520
